shop_name,shop_adr
コム・フォー　丸の内オアゾ店,						東京都千代田区丸の内１－６－４　丸の内オアゾ　ショップ＆レストランＢ１
チャオタイ　渋谷東口店,						東京都渋谷区渋谷２－２２－１０ タキザワビルＢ１
タイ居酒屋 トンタイ 新宿店,						東京都新宿区新宿５-4-1 Qフラットビル 201
タイレストラン　Smile Thailand,						東京都台東区浅草橋１-22-3　FIVE-I　１階
カジュアルタイレストラン　オーキッドキッチン,						東京都調布市布田２丁目３７－７　２F
チャオタイ　渋谷店,						東京都渋谷区道玄坂２－９－１０　Ｋ＆Ｋビル２Ｆ
タイ料理 ココナッツ,東京都中野区中野5-56-15
タイ料理 ピンナリー,東京都江戸川区西小岩3-31-10アオヤマビル１Ｆ
バーミィー・アジア料理,東京都杉並区高円寺南3-58-18
タイ料理バイトン,東京都中央区銀座3-14-5アルファ銀座ビル１Ｆ
タイ料理タイラーンナー,東京都八王子市中町10-14
ベトナム料理 フォンベト 新宿西口本店,東京都新宿区西新宿7-10-10西村ビル2F
ベトナム料理・ビストロ・オーセンティック,東京都台東区浅草1-1-12浅草地下商店街
ベトナム料理 ミュン 浅草店,東京都台東区駒形1-12-10駒形茜日伸ハイツ１Ｆ
ベトナムDining ミュン,東京都文京区小石川1-11-13新香園ビル5F
ベトナム本場料理 メコン,東京都千代田区鍛冶町2-12-1神田一番街高架下共同ビル２Ｆ
コム・ベトナム,東京都立川市曙町2-32-3三和ビルＢ１Ｆ
チョウ ベトナム,東京都中央区銀座1-3-6銀座ベラメンテ１Ｆ、Ｂ１Ｆ
ベトナムハウス,東京都武蔵野市吉祥寺本町2-34-12若月ビルＢ１Ｆ
ベトナム料理店chau,東京都世田谷区奥沢3-10-3
2017年の営業は終了致しました　東京湾納涼船,						東京都港区海岸１-12－2
楽屋（RAKUYA）,						東京都目黒区上目黒２-15-6　モロバシビル1F
タイ国惣菜料理 ゲウチャイ 東陽町店,東京都江東区東陽6-3-1クイーンズ伊勢丹東陽町店１Ｆ
健康ハーブ＆エスニック・タイ国料理店 タワンドーン,東京都豊島区池袋2-5-7みどりビル１Ｆ
タイ家庭料理 沌 亀有店,東京都葛飾区亀有3-27-3ルファール2F
タイ国料理 ゲウチャイ 新宿店,東京都新宿区新宿3-21-7東新ビル2F
梁さんのアジア料理 サンタ・マルタ,東京都大田区蒲田5-45-1YMビル5F
バンコク屋台料理 カオマンガイ 2号,東京都八王子市寺町49-3ＮＫ第二ビル１Ｆ
タイラーメンと屋台料理  バナナ食堂,東京都立川市錦町2-1-7幸ビル1F
タイ料理レストランジャンジャオ 上野店,東京都台東区上野2-2-4上村ビル2F
タイ料理レストラン ジンラック,東京都新宿区歌舞伎町2-23-10第1本間ビル2F
タイ料理レストラン シナモン,東京都江東区亀戸4-18-5小山ビル2F
タイ家庭料理　コンケーン,東京都千代田区平河町1-3-10ブルービル本館１F
タイ料理研究所　渋谷店,東京都渋谷区桜丘町24-8新南平台マンション102号室
タイ料理 ラムヤイ,東京都新宿区大久保1-1-9新宿フラワーハイムビルＢ１Ｆ
春雨料理店 三丁目,東京都三鷹市下連雀3-29
バンコク家庭料理　クルアバンコク,東京都豊島区東池袋1-29-5クレバ東池袋２Ｆ
タイ屋台料理 ムエタイハウス,東京都文京区大塚5-8-13
asian garden きゃら亭,東京都千代田区内幸町1-7-13
Asian Smile,東京都渋谷区代々木1-36-6代々木駅前ビルB1F
ASIAN・PEARL,東京都新宿区西新宿3-11-19
アジアンダイニング アロイ,東京都新宿区新宿3-4-1東新宿ビルディング７Ｆ
asian asian,東京都中央区銀座7-2-20日ノ樹ビル３Ｆ
アジアンスマイル麹町店,東京都千代田区麹町4-8-1クリスタルシティ東館B1
